Title,Movie Link,Year,Duration,MPA,Rating,Votes,Description,budget,grossWorldWide,gross_US_Canada,opening_weekend_Gross,directors,writers,stars,genres,countries_origin,filming_locations,production_companies,Languages,wins,nominations,oscars,release_date
89. Metalstorm: The Destruction of Jared-Syn,https://www.imdb.com/title/tt0085935/?ref_=sr_t_89,1983,1h 24m,PG,3.9,2K,"On a desert planet, warlord Jared-Syn is trying to convince a tribe of mutants that he's their messiah and gain unlimited power hidden in a crystal. Ranger Dogen and explorer Dhyana, who's father was murdered by Syn, must stop him.",3500000.0,5301085,5301085,2019000.0,['Charles Band'],['Alan J. Adler'],"['Jeffrey Byron', 'Michael Preston', 'Tim Thomerson']","['Desert Adventure', 'Action', 'Adventure', 'Romance', 'Sci-Fi']",['United States'],"['Cameron, Arizona, USA']","['Albert Band International Productions Inc.', 'Hollywood Films']",['English'],0,0,0,1983
90. Love Letters,https://www.imdb.com/title/tt0085871/?ref_=sr_t_90,1983,1h 28m,R,5.8,1K,"A story of love and obsession. A young radio personality who, after her mother dies, discovers she had been having a love affair for 15 years. Now she finds herself recreating her mother's romance by getting involved with a married man.",550000.0,5269990,5269990,,['Amy Holden Jones'],['Amy Holden Jones'],"['Jamie Lee Curtis', 'Bonnie Bartlett', 'Matt Clark']","['Drama', 'Romance']",['United States'],"['412 Carroll Canal, Venice, Los Angeles, California, USA']",['Millenium'],['English'],0,0,0,1983
91. Eddie and the Cruisers,https://www.imdb.com/title/tt0085475/?ref_=sr_t_91,1983,1h 35m,PG,6.9,8.8K,"A television newswoman picks up the story of a 1960s rock band whose long-lost leader Eddie Wilson may still be alive, while searching for the missing tapes of the band's never-released album.",,4786789,4786789,1444886.0,['Martin Davidson'],"['Martin Davidson', 'Arlene Davidson', 'P.F. Kluge']","['Tom Berenger', 'Michael Paré', 'Joe Pantoliano']","['Drama', 'Music', 'Mystery']",['United States'],"[""Tony Mart's, Somers Point, New Jersey, USA""]",['Aurora'],['English'],0,0,0,1983
92. Curse of the Pink Panther,https://www.imdb.com/title/tt0085384/?ref_=sr_t_92,1983,1h 49m,PG,4.3,6.9K,"Ensuing after the events of Clouseau's disappearance, his bosses at the Surete put a computer into service to elect a new shrewd detective, Sleigh, who turns up just as inept as Clouseau.",11000000.0,4491986,4491986,1641182.0,['Blake Edwards'],"['Blake Edwards', 'Geoffrey Edwards']","['David Niven', 'Robert Wagner', 'Herbert Lom']","['Farce', 'Slapstick', 'Comedy', 'Crime', 'Mystery']","['United Kingdom', 'United States']","['Nice, Alpes-Maritimes, France']","['United Artists', 'Titan Productions', 'Blake Edwards']",['English'],0,0,0,1983
93. Trenchcoat,https://www.imdb.com/title/tt0086476/?ref_=sr_t_93,1983,1h 31m,PG,5.3,563,An aspiring mystery writer becomes accidently embroiled in an international plot during a two-week stay in Malta.,5000000.0,4304286,4304286,2192621.0,['Michael Tuchner'],"['Jeffrey Price', 'Peter S. Seaman']","['Margot Kidder', 'Robert Hays', 'David Suchet']","['Parody', 'Comedy', 'Mystery', 'Thriller']",['United States'],"[""Dragonara Palace Hotel and Casino - St Julian's, Malta""]",['Walt Disney Productions'],"['English', 'Italian', 'Latin', 'German', 'French']",0,0,0,1983
94. Yellowbeard,https://www.imdb.com/title/tt0086618/?ref_=sr_t_94,1983,1h 36m,PG,5.9,8.8K,"After serving two decades in prison, Yellowbeard (Graham Chapman) breaks out determined to recover the treasure that he buried so long ago, alongside his son, old crew, and the British Navy.",6500000.0,4300000,4300000,1564155.0,['Mel Damski'],"['Graham Chapman', 'Peter Cook', 'Bernard McKenna']","['Graham Chapman', 'Peter Boyle', 'Cheech Marin']","['Action', 'Adventure', 'Comedy']","['United Kingdom', 'Mexico']","['Rye, East Sussex, England, UK']","['Seagoat Films', 'Hemdale', ""Cinema '84""]",['English'],0,0,0,1983
95. The Keep,https://www.imdb.com/title/tt0085780/?ref_=sr_t_95,1983,1h 36m,R,5.7,15K,Nazis are forced to turn to a Jewish historian for help in battling the ancient demon they have inadvertently freed from its prison.,11000000.0,4219430,4218594,1032295.0,['Michael Mann'],"['F. Paul Wilson', 'Michael Mann']","['Scott Glenn', 'Ian McKellen', 'Alberta Watson']","['Dark Fantasy', 'Drama', 'Fantasy', 'Horror']","['United Kingdom', 'United States']","['Blaenau Ffestiniog, Gwynedd, Wales, UK']","['Associated Capital', 'Capital Equipment Leasing']",['English'],0,0,0,1983
96. Entre Nous,https://www.imdb.com/title/tt0085370/?ref_=sr_t_96,1983,1h 50m,PG,7.0,2.4K,"A Jewish refugee marries a soldier to escape deportation to Germany. Meanwhile a wealthy art student loses her first husband to a stray Resistance bullet; at the Liberation she meets an actor, gets pregnant, and marries him.",,3974975,3974975,,['Diane Kurys'],"['Diane Kurys', 'Alain Le Henry']","['Miou-Miou', 'Isabelle Huppert', 'Guy Marchand']","['Biography', 'Drama', 'Romance', 'War']",['France'],"['Camp de Rivesaltes, Rivesaltes, Pyrénées Orientales, France']","['Gaumont', 'A.J.O.Z. Films', ""Partner's Productions""]","['French', 'English']",2,7,1,1983
97. Joysticks,https://www.imdb.com/title/tt0085764/?ref_=sr_t_97,1983,1h 28m,R,4.5,2.8K,"When a top local businessman and his two bumbling nephews try to shut down the town's only video arcade, which is run by the owner's grandson, the arcade employees and patrons fight back.",300000.0,3952448,3952448,1431065.0,['Greydon Clark'],"['Al Gomez', 'Mickey Epps', 'Curtis Burch']","['Joe Don Baker', 'Leif Green', 'Jim Greenleaf']","['Raunchy Comedy', 'Comedy']",['United States'],"['333 S Arden Blvd, Los Angeles, California, USA']",['Greydon Clark Productions'],['English'],0,0,0,1983
98. Running Brave,https://www.imdb.com/title/tt0086220/?ref_=sr_t_98,1983,1h 46m,PG,6.7,807,"The story of Billy Mills, the American Indian who came from obscurity to win the 10,000-meter long-distance foot-race in the Tokyo Olympics in 1964.",8000000.0,3000000,3000000,441145.0,['Donald Shebib'],"['Henry Bean', 'Shirl Hendryx']","['Robby Benson', 'Pat Hingle', 'Claudia Cron']","['Biography', 'Drama', 'Sport']",['Canada'],"['Edmonton, Alberta, Canada']","['Englander Productions', 'Filmtrust']",['English'],0,0,0,1983
"99. Careful, He Might Hear You",https://www.imdb.com/title/tt0085295/?ref_=sr_t_99,1983,1h 50m,PG,6.9,892,"His mother dead, PS lives in Sydney with working-class Aunt Lila and Uncle George. When he's six or eight, his posh Aunt Vanessa descends from England. Named a co-guardian by PS's feckless, absent father, she asserts her rights and convinces Lila to have PS live with her weekdays. PS is happy at Lila's, playing with children, running about, speaking up. At Vanessa's, there's a regimen of private school, round vowels, piano and riding lessons, and lonely indoor play with fancy toys. He's miserable and when he objects, she sues for complete custody. Will anyone listen to him? And will he take on Vanessa's challenges to find out who he is and to love someone?",,2938179,2938179,,['Carl Schultz'],"['Michael Jenkins', 'Sumner Locke Elliott']","['Wendy Hughes', 'Robyn Nevin', 'Nicholas Gledhill']",['Drama'],['Australia'],"['Centennial Park, Sydney, New South Wales, Australia']","['Syme International Productions', 'New South Wales Film Corporation']",['English'],10,6,0,1983
100. Phar Lap,https://www.imdb.com/title/tt0086102/?ref_=sr_t_100,1983,1h 47m,PG,7.2,2K,"The true story of a New Zealand racehorse that became a champion, with the help of a local stable-boy.",,2878404,2878404,,['Simon Wincer'],['David Williamson'],"['Tom Burlinson', 'Judy Morris', 'Martin Vaughan']","['Biography', 'Drama', 'Family', 'History', 'Sport']",['Australia'],"['St James Street, Geelong West, Victoria, Australia']","['Michael Edgley International', 'Phar Lap Management', 'Twentieth Century Fox']",['English'],4,5,0,1983
