Title,Movie Link,Year,Duration,MPA,Rating,Votes,Description,budget,grossWorldWide,gross_US_Canada,opening_weekend_Gross,directors,writers,stars,genres,countries_origin,filming_locations,production_companies,Languages,wins,nominations,oscars,release_date
11. Taylor Swift: The Eras Tour,https://www.imdb.com/title/tt28814949/?ref_=sr_t_11,2023,2h 49m,PG-13,8.0,24K,"Experience the Eras Tour concert, performed by the one and only Taylor Swift.",,261656269,180756269,93224755,['Sam Wrench'],[],"['Taylor Swift', 'Mike Meadows', 'Max Bernstein']","['Concert', 'Documentary', 'Music', 'Musical']",['United States'],"['SoFi Stadium - 1001 Stadium Drive, Inglewood, California, USA']","['Silent House', 'Taylor Swift Productions']",['English'],2,9,0,2023
12. Indiana Jones and the Dial of Destiny,https://www.imdb.com/title/tt1462764/?ref_=sr_t_12,2023,2h 34m,PG-13,6.5,216K,Archaeologist Indiana Jones races against time to retrieve a legendary artifact that can change the course of history.,387200000.0,383963057,174480468,60368101,['James Mangold'],"['Jez Butterworth', 'John-Henry Butterworth', 'David Koepp']","['Harrison Ford', 'Phoebe Waller-Bridge', 'Antonio Banderas']","['Adventure Epic', 'Globetrotting Adventure', 'Time Travel', 'Action', 'Adventure', 'Sci-Fi']",['United States'],"['North Yorkshire Moors Railway, 12 Park Street, Pickering, North Yorkshire, England, UK']","['Walt Disney Pictures', 'Lucasfilm', 'Paramount Pictures']","['English', 'German', 'Greek, Ancient (to 1453)', 'Spanish', 'Italian']",7,35,1,2023
13. Mission: Impossible - Dead Reckoning Part One,https://www.imdb.com/title/tt9603212/?ref_=sr_t_13,2023,2h 43m,PG-13,7.7,277K,Ethan Hunt and his IMF team must track down a dangerous weapon before it falls into the wrong hands.,291000000.0,571125435,172640980,54688347,['Christopher McQuarrie'],"['Bruce Geller', 'Christopher McQuarrie', 'Erik Jendresen']","['Tom Cruise', 'Hayley Atwell', 'Ving Rhames']","['Action Epic', 'Adventure Epic', 'Spy', 'Action', 'Adventure', 'Thriller']",['United States'],"['Helsetkopen, Møre og Romsdal, Norway']","['Paramount Pictures', 'Skydance Media', 'TC Productions']","['English', 'French', 'Italian', 'Russian']",18,67,2,2023
14. The Hunger Games: The Ballad of Songbirds & Snakes,https://www.imdb.com/title/tt10545296/?ref_=sr_t_14,2023,2h 37m,PG-13,6.7,152K,Coriolanus Snow mentors and develops feelings for the female District 12 tribute during the 10th Hunger Games.,100000000.0,348900019,166350594,44607143,['Francis Lawrence'],"['Michael Lesslie', 'Michael Arndt', 'Suzanne Collins']","['Rachel Zegler', 'Tom Blyth', 'Viola Davis']","['Dystopian Sci-Fi', 'Teen Adventure', 'Action', 'Adventure', 'Drama', 'Sci-Fi', 'Thriller', 'War']","['United States', 'Canada']","['Landschaftspark, Duisburg, North Rhine-Westphalia, Germany']","['Lionsgate', 'Color Force', 'About Blank']",['English'],7,27,0,2023
15. Transformers: Rise of the Beasts,https://www.imdb.com/title/tt5090568/?ref_=sr_t_15,2023,2h 7m,PG-13,6.0,119K,"During the '90s, a new faction of Transformers - the Maximals - join the Autobots as allies in the battle for Earth.",200000000.0,441656550,157341749,61045464,['Steven Caple Jr.'],"['Joby Harold', 'Darnell Metayer', 'Josh Peters']","['Anthony Ramos', 'Dominique Fishback', 'Luna Lauren Velez']","['Alien Invasion', 'Car Action', 'Action', 'Adventure', 'Sci-Fi']","['United States', 'Canada', 'United Kingdom', 'New Zealand', 'Hungary', 'Peru', 'China']","['Cuzco, Peru']","['Paramount Pictures', 'Skydance Media', 'New Republic Pictures']","['English', 'Spanish']",0,11,0,2023
16. Creed III,https://www.imdb.com/title/tt11145118/?ref_=sr_t_16,2023,1h 56m,PG-13,6.7,99K,"Adonis has been thriving in both his career and family life, but when a childhood friend and former boxing prodigy resurfaces, the face-off is more than just a fight.",75000000.0,276148615,156248615,58370007,['Michael B. Jordan'],"['Keenan Coogler', 'Zach Baylin', 'Ryan Coogler']","['Michael B. Jordan', 'Tessa Thompson', 'Jonathan Majors']","['Boxing', 'Action', 'Drama', 'Sport']",['United States'],"['Atlanta, Georgia, USA']","['Metro-Goldwyn-Mayer (MGM)', 'Chartoff-Winkler Productions', 'Glickmania']","['English', 'American Sign Language', 'Spanish', 'Hawaiian']",0,28,0,2023
17. Elemental,https://www.imdb.com/title/tt15789038/?ref_=sr_t_17,2023,1h 41m,PG,7.0,146K,"Follows Ember and Wade, in a city where fire-, water-, earth- and air-residents live together.",200000000.0,496444308,154426697,29602429,['Peter Sohn'],"['John Hoberg', 'Kat Likkel', 'Brenda Hsueh']","['Leah Lewis', 'Mamoudou Athie', 'Ronnie Del Carmen']","['Computer Animation', 'Urban Adventure', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Romance']",['United States'],"['Walt Disney Feature Animation - 500 S. Buena Vista Street, Burbank, California, USA']","['Walt Disney Pictures', 'Pixar Animation Studios', 'Hurwitz Creative']",['English'],2,68,1,2023
18. Fast X,https://www.imdb.com/title/tt5433140/?ref_=sr_t_18,2023,2h 21m,PG-13,5.7,131K,Dom Toretto and his family are targeted by the vengeful son of drug kingpin Hernan Reyes.,340000000.0,704875015,146126015,67017410,['Louis Leterrier'],"['Dan Mazeau', 'Justin Lin', 'Zach Dean']","['Vin Diesel', 'Michelle Rodriguez', 'Jason Statham']","['Action Epic', 'Car Action', 'Urban Adventure', 'Action', 'Adventure', 'Crime', 'Mystery', 'Thriller']","['United States', 'China', 'Japan']","['A24 Highway AKA Autoestrada do Interior Norte, Portugal']","['Universal Pictures', 'China Film Co., Ltd.', 'Dentsu']",['English'],2,15,0,2023
19. Five Nights at Freddy's,https://www.imdb.com/title/tt4589218/?ref_=sr_t_19,2023,1h 49m,PG-13,5.4,109K,"A troubled security guard begins working at Freddy Fazbear's Pizza. During his five nights on the job, he realizes that something is wrong with the pizzeria and pretty soon finds the truth about its animatronics.",20000000.0,291493620,137275620,80001720,['Emma Tammi'],"['Scott Cawthon', 'Seth Cuddeback', 'Emma Tammi']","['Josh Hutcherson', 'Piper Rubio', 'Elizabeth Lail']","['Supernatural Horror', 'Suspense Mystery', 'Horror', 'Mystery', 'Thriller']",['United States'],"['Oakwood Center, Terrytown, Louisiana, USA']","['Universal Pictures', 'Blumhouse Productions', 'Scott Cawthon Productions']",['English'],0,22,0,2023
20. Migration,https://www.imdb.com/title/tt6495056/?ref_=sr_t_20,2023,1h 23m,PG,6.6,39K,A family of ducks try to convince their overprotective father to go on the vacation of a lifetime.,70000000.0,300187799,127630880,12453275,"['Benjamin Renner', 'Guylo Homsy']","['Mike White', 'Benjamin Renner', 'Ken Daurio']","['Kumail Nanjiani', 'Tresi Gazal', 'Elizabeth Banks']","['Animal Adventure', 'Computer Animation', 'Adventure', 'Animation', 'Comedy', 'Family']",['United States'],[],"['Universal Pictures', 'Illumination Entertainment', 'Dentsu']",['English'],0,7,0,2023
