,Title,Year,Duration,Rating,Votes,Description,budget,grossWorldWide,gross_US_Canada,opening_weekend_Gross,stars,genres,wins,nominations,oscars,genres_count
474,Scent of a Woman,1992,156.0,8.0,345000.0,"A prep school student needing money agrees to ""babysit"" a blind man, but the job is not at all what he anticipated.",31000000.0,134095253.0,63095253.0,357468.0,Al Pacino,Drama,6,14,1,1470
475,Scent of a Woman,1992,156.0,8.0,345000.0,"A prep school student needing money agrees to ""babysit"" a blind man, but the job is not at all what he anticipated.",31000000.0,134095253.0,63095253.0,357468.0,Chris O'Donnell,Drama,6,14,1,1470
476,Scent of a Woman,1992,156.0,8.0,345000.0,"A prep school student needing money agrees to ""babysit"" a blind man, but the job is not at all what he anticipated.",31000000.0,134095253.0,63095253.0,357468.0,James Rebhorn,Drama,6,14,1,1470
477,Big Fish,2003,125.0,8.0,467000.0,A frustrated son tries to determine the fact from fiction in his dying father's life.,70000000.0,123235422.0,66809693.0,207377.0,Ewan McGregor,Adventure,0,69,1,1755
478,Big Fish,2003,125.0,8.0,467000.0,A frustrated son tries to determine the fact from fiction in his dying father's life.,70000000.0,123235422.0,66809693.0,207377.0,Albert Finney,Adventure,0,69,1,1755
479,Big Fish,2003,125.0,8.0,467000.0,A frustrated son tries to determine the fact from fiction in his dying father's life.,70000000.0,123235422.0,66809693.0,207377.0,Billy Crudup,Adventure,0,69,1,1755
480,Soul,2020,100.0,8.0,402000.0,"Joe is a middle-school band teacher whose life hasn't quite gone the way he expected. His true passion is jazz. But when he travels to another realm to help someone find their passion, he soon discovers what it means to have soul.",30000000.0,121977511.0,946154.0,431840.0,Jamie Foxx,Adventure,126,95,2,1755
481,Soul,2020,100.0,8.0,402000.0,"Joe is a middle-school band teacher whose life hasn't quite gone the way he expected. His true passion is jazz. But when he travels to another realm to help someone find their passion, he soon discovers what it means to have soul.",30000000.0,121977511.0,946154.0,431840.0,Tina Fey,Adventure,126,95,2,1755
482,Soul,2020,100.0,8.0,402000.0,"Joe is a middle-school band teacher whose life hasn't quite gone the way he expected. His true passion is jazz. But when he travels to another realm to help someone find their passion, he soon discovers what it means to have soul.",30000000.0,121977511.0,946154.0,431840.0,Graham Norton,Adventure,126,95,2,1755
483,Cinderella Man,2005,144.0,8.0,203000.0,"The true story of James J. Braddock, a supposedly washed-up boxer, who returned to the spotlight to win the heavyweight championship of the world.",88000000.0,108539911.0,61649911.0,18320205.0,Russell Crowe,Drama,16,45,3,1470
