,Title,Year,Duration,Rating,Votes,Description,budget,grossWorldWide,gross_US_Canada,opening_weekend_Gross,stars,genres,wins,nominations,oscars,genres_count
116,Henry Danger: The Movie,2025,86.0,5.0,1300.0,A theatrical film based on the Nickelodeon Show 'Henry Danger.',25500000.0,977709.0,2339255.0,2339255.0,Ella Anderson,Action,0,0,0,63
117,Kinda Pregnant,2025,97.0,4.9,8000.0,"When Lainy's plan to settle down and start a family falls apart, she puts on a fake baby bump, tells a lie, and accidentally falls for her dream guy.",25500000.0,977709.0,2339255.0,2339255.0,Amy Schumer,Comedy,0,0,0,18
118,Kinda Pregnant,2025,97.0,4.9,8000.0,"When Lainy's plan to settle down and start a family falls apart, she puts on a fake baby bump, tells a lie, and accidentally falls for her dream guy.",25500000.0,977709.0,2339255.0,2339255.0,Will Forte,Comedy,0,0,0,18
119,Kinda Pregnant,2025,97.0,4.9,8000.0,"When Lainy's plan to settle down and start a family falls apart, she puts on a fake baby bump, tells a lie, and accidentally falls for her dream guy.",25500000.0,977709.0,2339255.0,2339255.0,Jillian Bell,Comedy,0,0,0,18
120,Marked Men,2025,93.0,4.9,254.0,"Shaw has loved Rule since she saw him, but Rule doesn't see her as a suitable match, but a night of drinking and secrets leads them to question if they can be together without ruining their relationship...or each other.",25500000.0,183945.0,2339255.0,2339255.0,Alexander Ludwig,Romantic,0,0,0,9
121,Marked Men,2025,93.0,4.9,254.0,"Shaw has loved Rule since she saw him, but Rule doesn't see her as a suitable match, but a night of drinking and secrets leads them to question if they can be together without ruining their relationship...or each other.",25500000.0,183945.0,2339255.0,2339255.0,Chase Stokes,Romantic,0,0,0,9
122,Marked Men,2025,93.0,4.9,254.0,"Shaw has loved Rule since she saw him, but Rule doesn't see her as a suitable match, but a night of drinking and secrets leads them to question if they can be together without ruining their relationship...or each other.",25500000.0,183945.0,2339255.0,2339255.0,Natalie Alyn Lind,Romantic,0,0,0,9
123,The Bayou,2025,87.0,4.9,72.0,"Vacation turns disaster when Houston grad, Kyle and her friends escape a plane crash in the desolate Louisiana everglades, only to discover there's something way more dangerous lurking in the shallows.",25500000.0,62907.0,2339255.0,2339255.0,Elisha Applebaum,Action,0,0,0,63
124,The Bayou,2025,87.0,4.9,72.0,"Vacation turns disaster when Houston grad, Kyle and her friends escape a plane crash in the desolate Louisiana everglades, only to discover there's something way more dangerous lurking in the shallows.",25500000.0,62907.0,2339255.0,2339255.0,Madalena Aragão,Action,0,0,0,63
125,The Bayou,2025,87.0,4.9,72.0,"Vacation turns disaster when Houston grad, Kyle and her friends escape a plane crash in the desolate Louisiana everglades, only to discover there's something way more dangerous lurking in the shallows.",25500000.0,62907.0,2339255.0,2339255.0,Isabelle Bonfrer,Action,0,0,0,63
