iter	Passed	Remaining
706	4572	1894
707	4583	1890
708	4590	1883
709	4593	1876
710	4598	1869
711	4604	1862
712	4611	1856
713	4616	1849
714	4621	1842
715	4630	1836
716	4633	1828
717	4637	1821
718	4642	1814
719	4646	1806
720	4650	1799
721	4656	1793
722	4664	1787
723	4673	1781
724	4676	1773
725	4680	1766
726	4687	1760
727	4696	1754
728	4701	1747
729	4704	1740
730	4708	1732
731	4713	1725
732	4718	1718
733	4723	1711
734	4731	1705
735	4734	1698
736	4737	1690
737	4741	1683
738	4747	1676
739	4755	1670
740	4761	1664
741	4767	1657
742	4771	1650
743	4777	1643
744	4778	1635
745	4781	1628
746	4785	1620
747	4789	1613
748	4792	1606
749	4795	1598
750	4798	1591
751	4803	1584
752	4806	1576
753	4809	1569
754	4813	1561
755	4817	1554
756	4820	1547
757	4823	1539
758	4826	1532
759	4829	1525
760	4835	1518
761	4839	1511
762	4843	1504
763	4849	1498
764	4852	1490
765	4854	1483
766	4858	1475
767	4861	1468
768	4864	1461
769	4867	1453
770	4870	1446
771	4873	1439
772	4878	1432
773	4881	1425
774	4885	1418
775	4889	1411
776	4894	1404
777	4897	1397
778	4901	1390
779	4904	1383
780	4909	1376
781	4912	1369
782	4915	1362
783	4917	1354
784	4920	1347
785	4922	1340
786	4926	1333
787	4933	1327
788	4936	1320
789	4939	1313
790	4944	1306
791	4948	1299
792	4951	1292
793	4954	1285
794	4957	1278
795	4960	1271
796	4963	1264
797	4965	1257
798	4968	1249
799	4972	1243
800	4974	1235
801	4979	1229
802	4984	1222
803	4989	1216
804	4992	1209
805	4996	1202
806	5003	1196
807	5012	1190
808	5014	1183
809	5018	1177
810	5024	1170
811	5027	1164
812	5030	1157
813	5033	1150
814	5035	1143
815	5039	1136
816	5042	1129
817	5045	1122
818	5052	1116
819	5055	1109
820	5059	1103
821	5063	1096
822	5066	1089
823	5068	1082
824	5071	1075
825	5073	1068
826	5075	1061
827	5078	1054
828	5080	1047
829	5083	1041
830	5085	1034
831	5088	1027
832	5090	1020
833	5092	1013
834	5094	1006
835	5097	999
836	5099	993
837	5102	986
838	5104	979
839	5107	972
840	5109	966
841	5112	959
842	5115	952
843	5117	945
844	5119	939
845	5122	932
846	5124	925
847	5127	918
848	5129	912
849	5131	905
850	5133	898
851	5136	892
852	5138	885
853	5141	878
854	5143	872
855	5145	865
856	5148	859
857	5150	852
858	5152	845
859	5154	839
860	5157	832
861	5159	825
862	5161	819
863	5164	812
864	5166	806
865	5168	799
866	5170	793
867	5173	786
868	5175	780
869	5177	773
870	5179	767
871	5182	760
872	5184	754
873	5186	747
874	5188	741
875	5191	734
876	5193	728
877	5195	721
878	5197	715
879	5200	709
880	5202	702
881	5204	696
882	5206	689
883	5209	683
884	5211	677
885	5213	670
886	5215	664
887	5218	658
888	5220	651
889	5222	645
890	5225	639
891	5227	632
892	5229	626
893	5232	620
894	5234	614
895	5236	607
896	5239	601
897	5241	595
898	5243	589
899	5246	582
900	5248	576
901	5250	570
902	5252	564
903	5254	558
904	5256	551
905	5259	545
906	5261	539
907	5263	533
908	5265	527
909	5267	520
910	5269	514
911	5272	508
912	5274	502
913	5276	496
914	5278	490
915	5280	484
916	5282	478
917	5284	472
918	5286	465
919	5288	459
920	5290	453
921	5292	447
922	5294	441
923	5297	435
924	5299	429
925	5301	423
926	5303	417
927	5305	411
928	5307	405
929	5309	399
930	5311	393
931	5313	387
932	5315	381
933	5318	375
934	5320	369
935	5322	363
936	5325	358
937	5327	352
938	5329	346
939	5332	340
940	5334	334
941	5337	328
942	5340	322
943	5342	316
944	5346	311
945	5348	305
946	5350	299
947	5353	293
948	5355	287
